,job_id,skills
279,157,Customer Engagement
280,157,Empirical Research
281,157,Bachelor's Degree
282,158,SQL
283,158,Analytical Skills
284,158,Data Analysis
285,158,Data Science
286,158,A/B Testing
287,158,Database Systems
288,158,Funnel Optimization
289,158,Data Analytics
290,158,Data Mining
291,158,Business Intelligence (BI)
292,194,Analytical Skills
293,194,Data Science
294,194,Artificial Intelligence (AI)
295,194,Machine Learning
296,194,Big Data
297,194,Natural Language Processing (NLP)
298,194,Neural Networks
299,194,Team Leadership
300,194,Machine Learning Algorithms
301,194,Data Pipelines
302,201,SQL
303,201,Analytics
304,201,Hive
305,201,NoSQL
306,201,Data Architecture
307,201,Hadoop
308,201,Data Mining
309,201,Big Data
310,201,Apache Kafka
311,201,Apache Spark Streaming
312,202,Python (Programming Language)
313,202,Computer Science
314,202,Data Analysis
315,202,Data Science
316,202,Written Communication
317,202,Creative Strategy
318,202,Artificial Intelligence (AI)
319,202,Hadoop
320,202,Data Mining
321,202,Scripting
322,203,Analytical Skills
323,203,Data Analysis
324,203,Product Management
325,203,iOS
326,203,A/B Testing
327,203,Android
328,203,Data Analytics
329,203,Design
330,203,Bachelor's Degree
331,216,Mathematics
332,216,Analytical Skills
333,216,Organization Skills
334,216,Microsoft Excel
335,216,Computer Literacy
336,216,Procedure Manuals
337,216,Report Writing
338,216,Time Management
339,216,Annual Reports
340,216,Skilled Multi-tasker
341,216,Bachelor's Degree
342,219,Mathematics
343,219,Statistics
344,219,Python (Programming Language)
345,219,SQL
346,219,Computer Science
347,219,Machine Learning
348,219,Data Mining
349,219,Big Data
350,219,Quantitative Analytics
351,219,Scikit-Learn
352,219,Bachelor's Degree
353,223,Python (Programming Language)
354,223,SQL
355,223,Data Analysis
356,223,Data Science
357,223,Tableau
358,223,Data Mining
359,223,Unix
360,223,Linux
361,223,Database Administration
362,223,R
363,227,Computer Science
364,227,Analytics
365,227,Apache Spark
366,227,Google Cloud Platform (GCP)
367,227,Information Systems
368,227,High degree of initiative
369,227,Computer Information Systems
370,227,PySpark
371,227,Skilled Multi-tasker
372,227,Troubleshooting
373,227,Bachelor's Degree
374,230,Statistics
375,230,Analytical Skills
376,230,Data Science
377,230,Analytics
378,230,Business
379,230,Data Engineering
380,230,Engineering
381,230,Core Data
382,230,Project Management
383,230,Data Quality
384,230,Master's Degree
385,231,Mathematics
386,231,Data Science
387,231,American Welding Society Standards
388,231,Image Processing
389,231,Kubernetes
390,231,Deep Learning
391,231,Data Products
392,231,Error Analysis
393,231,Heuristics
394,231,Amazon Web Services (AWS)
395,232,Python (Programming Language)
396,232,Data Science
397,232,Active DoD Secret Clearance
398,232,Nonparametric Statistics
399,232,Cloud Infrastructure
400,232,Statistical Data Analysis
401,232,Predictive Analytics
402,232,Artificial Intelligence (AI)
403,232,Machine Learning
404,232,Natural Language Processing (NLP)
405,235,Analytical Skills
406,235,Data Analysis
407,235,Data Science
408,235,Analytics
409,235,Data Visualization
410,235,Data Collection
411,235,Tableau
412,235,Information Systems
413,235,Hospital Information Systems
414,235,Data Analytics
415,237,Bachelor's Degree
416,243,Python (Programming Language)
417,243,Data Warehouse Architecture
418,243,Java
419,243,Apache Spark
420,243,Data Solutions
421,243,Big Data
422,243,Microsoft Azure
423,243,"Extract, Transform, Load (ETL)"
424,243,PySpark
425,243,Data Warehousing
426,243,Bachelor's Degree
427,266,Analytical Skills
428,266,Data Analysis
429,266,Centrifuge
430,266,Biosafety
431,266,Cell Lines
432,266,Microscopes
433,266,Apoptosis
434,266,Cell Biology
435,266,Blotting
436,266,Autoclave
437,267,Analytical Skills
438,267,Computer Science
439,267,Data Science
440,267,Data-driven Decision Making
441,267,Data Engineering
442,267,Product Analytics
443,267,Deep Learning
444,267,Machine Learning
445,267,Data Mining
446,267,Data Pipelines
447,286,Research
448,286,Research Projects
449,286,Academic Writing
450,286,Bioinformatics
451,286,Technical Reports
452,286,Molecular Medicine
453,286,Writing
454,286,Laboratory Skills
455,286,RNAseq
456,286,Molecular Biology
457,286,Research Doctorate
458,302,Analytical Skills
459,302,Data Analysis
460,302,Data Science
461,302,Customer Acquisition
462,302,Content Marketing
463,302,Concert Production
464,302,Data Analytics
465,302,Google Data Studio
466,302,Google Drive
467,302,Skilled Multi-tasker
468,315,Research
469,315,Statistics
470,315,Applied Mathematics
471,315,Data Analysis
472,315,Data Science
473,315,Artificial Intelligence (AI)
474,315,Machine Learning
475,315,Big Data
476,315,Big Data Analytics
477,315,Applied Physics
478,318,Python (Programming Language)
479,318,Computer Science
480,318,Data Science
481,318,Data Engineering
482,318,Client Services
483,318,Data Analytics
484,318,"Extract, Transform, Load (ETL)"
485,318,Relational Databases
486,318,Data Pipelines
487,318,Data Warehousing
488,325,Analytical Skills
489,325,Data Science
490,325,Written Communication
491,325,Artificial Intelligence (AI)
492,325,Hadoop
493,325,Supervised Learning
494,325,Pattern Recognition
495,325,Machine Learning
496,325,Data Wrangling
497,325,Data Mining
498,326,Analytical Skills
499,326,A/B Testing
500,326,E-commerce
501,326,Google Analytics
502,326,Agile Methodologies
503,326,Cohort Analysis
504,326,Data Analytics
505,326,Web Analytics
506,326,Digital Marketing
507,326,Documentation
508,359,Analytical Skills
509,359,Data Science
510,359,Artificial Intelligence (AI)
511,359,Network Security
512,359,Data Mining
513,359,Data Structures
514,359,Natural Language Processing (NLP)
515,359,Security Information and Event Management (SIEM)
516,359,Linux
517,359,Scala
518,360,SQL
519,360,Analytical Skills
520,360,Data Analysis
521,360,Data Visualization
522,360,Tableau
523,360,Artificial Intelligence (AI)
524,360,Data Analytics
525,360,Looker (Software)
526,360,Instrumental Application Monitoring
527,360,Scripting
528,375,Analytical Skills
529,375,Data Science
530,375,Written Communication
531,375,Artificial Intelligence (AI)
532,375,Hadoop
533,375,Supervised Learning
534,375,Pattern Recognition
535,375,Machine Learning
536,375,Data Wrangling
537,375,Data Mining
538,401,Python (Programming Language)
539,401,Leadership
540,401,Data Science
541,401,Active DoD Secret Clearance
542,401,Non-linear Analysis
543,401,Nonparametric Statistics
544,401,Predictive Analytics
545,401,Machine Learning
546,401,Natural Language Processing (NLP)
547,401,Parametric Modeling
548,402,Mathematics
549,402,Analytical Skills
550,402,Data Science
551,402,Solution Implementation
552,402,Data Engineering
553,402,Deep Learning
554,402,Machine Learning
555,402,Problem Solving
556,402,Natural Language Processing (NLP)
557,402,TensorFlow
558,402,Master's Degree
559,403,Python (Programming Language)
560,403,SQL
561,403,Tableau
562,403,ETL Tools
563,403,Data Analytics
564,403,Predictive Modeling
565,403,Snowflake
566,403,Business Intelligence (BI)
567,403,Bachelor's Degree
568,412,Data Analysis
569,412,Data Science
570,412,Analytics
571,412,Customer Journeys
572,412,A/B Testing
573,412,Data Visualization
574,412,Tableau
575,412,Business Acumen
576,412,Data Manipulation
577,412,Data Analytics
578,460,Data Integrity
579,460,Winshuttle
580,460,SAP Configuration
581,460,Master Data Management
582,460,Materials Management
583,460,APICS
584,460,Master Data
585,460,Data Governance
586,460,Apparel
587,460,SAP Materials Management (SAP MM)
588,501,Python (Programming Language)
589,501,SQL
590,501,Data Science
591,501,LTV
592,501,Predictive Analytics
593,501,Google Analytics
594,501,Predictive Modeling
595,501,Web Analytics
596,501,R
597,501,Marketing Analytics
598,502,Analytics
599,502,Business
600,502,Data Engineering
601,502,Apache Spark
602,502,Production Engineering
603,502,Hadoop
604,502,Data Analytics
605,502,Data Mining
606,502,Big Data
607,502,Interpersonal Skills
608,525,Mathematics
609,525,Computer Science
610,525,Data Science
611,525,Next Gen
612,525,Image Processing
613,525,Apache Spark
614,525,Deep Learning
615,525,Machine Learning
616,525,Customer Experience
617,525,Personalization
618,579,Computer Science
619,579,Software Development
620,579,Auto Layout
621,579,Generic Programming
622,579,iOS
623,579,Model-view-viewmodel (MVVM)
624,579,Memory Management
625,579,Core Data
626,579,Swift (Programming Language)
627,579,Structs
628,579,Bachelor's Degree
629,708,Analytical Skills
630,708,Analytics
631,708,Online Marketing Analysis
632,708,Adobe Analytics
633,708,Media Analysis
634,708,Campaign Analytics
635,708,DCM
636,708,Marketing Analytics
637,708,Campaigns
638,708,Digital Media
